countyFIPS,county,stateFIPS,state,TOT_POP,TOT_HH,PCT_CHLDN,PCT_YOUTH,PCT_AD,PCT_SR,PCT_WHT,PCT_NWHT,MED_HH_INC,PCT_BLW_POV_RT,PCT_AGRI,PCT_CONST,PCT_MFG,PCT_WHLS_TRA,PCT_RET_TRA,PCT_TRANS,PCT_INFO,PCT_FIN,PCT_PRO,PCT_EDU,PCT_REC,PCT_OTHERS,PCT_PUB_ADMIN
72021,Bayam�nMunicipio,72,PR,182955,null,15.1,13.7,51,20.3,85.5,14.5,26017,32.6,0.2,4.2,4.9,4.5,14.6,3.7,2.4,6.8,11.1,23.5,10.3,5.5,8.3
72023,CaboRojoMunicipio,72,PR,49005,null,15.4,13.1,49.7,21.7,28.3,71.7,16080,47.4,1.2,4.9,11.4,1.8,18.4,2,3.2,4.7,7.5,22.2,10.7,3.5,8.5
72025,CaguasMunicipio,72,PR,131363,null,16.1,13.7,51.3,18.9,79.1,20.9,25006,33.7,0.3,4.1,8,2.8,13.7,3.6,2.4,6.1,11.8,24.5,10.5,4.9,7.2
72027,CamuyMunicipio,72,PR,32222,null,15.8,14,51.7,18.5,82,18,16831,47.8,3.2,8.3,9.5,2.3,17.8,3.8,0.9,3.8,4.6,20.3,7.6,7.3,10.4
72029,Can�vanasMunicipio,72,PR,46108,null,17.7,14.1,52.3,15.9,50,50,20673,41.1,1.2,5.7,7.4,2.8,16,4.6,1.9,5.6,14.5,20,8.7,3.8,8
72031,CarolinaMunicipio,72,PR,157453,null,15.4,13.7,49.9,20.9,61.9,38.1,29434,27.4,0.2,4,5.1,2.7,13.3,5.6,1.9,8.7,11.1,20.7,11.7,5.8,9.1
72033,Cata�oMunicipio,72,PR,24888,null,17.1,14.1,50.8,18,72,28,18253,43.7,0.4,4.8,4.5,6.4,14.9,4.1,3,7.1,13.6,17.3,10.5,4.3,9.2
72035,CayeyMunicipio,72,PR,44530,null,15.7,13.7,51.5,19.2,87.9,12.1,21320,39.5,1.3,6.1,11.8,2.2,13.4,4.1,0.6,4,9.7,26.7,8,5.4,6.6
72037,CeibaMunicipio,72,PR,11853,null,15.8,13.9,48.3,21.9,66.4,33.6,19103,41.9,1.8,3.6,11.1,1.1,13.2,5.4,0,4.6,9.2,20.8,15.2,6,7.9
72039,CialesMunicipio,72,PR,16912,null,17.2,13.3,51,18.4,98,2,15071,52.3,2.2,2.9,13.2,1.4,11.5,2.5,0.6,2.4,7,31.5,8.7,7.8,8.3
