name,Region,Last Update,Confirmed,Deaths,Recovered,Date
Nepal,Nepal,2020-01-28 23:00:00,1,0,0,01-28-2020
Sri Lanka,Sri Lanka,2020-01-28 23:00:00,1,0,0,01-28-2020
Washington,USA,2020-01-28 18:00:00,1,0,0,01-28-2020
Hubei,Mainland China,2020-01-29 21:00:00,4586,162,90,01-29-2020
Zhejiang,Mainland China,2020-01-29 21:00:00,428,0,4,01-29-2020
Guangdong,Mainland China,2020-01-29 21:00:00,311,0,6,01-29-2020
Henan,Mainland China,2020-01-29 21:00:00,278,2,2,01-29-2020
Hunan,Mainland China,2020-01-29 21:00:00,277,0,0,01-29-2020
Anhui,Mainland China,2020-01-29 21:00:00,200,0,2,01-29-2020
Chongqing,Mainland China,2020-01-29 21:00:00,165,0,1,01-29-2020
Jiangxi,Mainland China,2020-01-29 21:00:00,162,0,4,01-29-2020
Shandong,Mainland China,2020-01-29 21:00:00,145,0,1,01-29-2020
Sichuan,Mainland China,2020-01-29 21:00:00,142,1,1,01-29-2020
Jiangsu,Mainland China,2020-01-29 21:00:00,129,0,1,01-29-2020
Beijing,Mainland China,2020-01-29 21:00:00,111,1,4,01-29-2020
Fujian,Mainland China,2020-01-29 21:00:00,101,0,0,01-29-2020
Shanghai,Mainland China,2020-01-29 21:00:00,101,1,5,01-29-2020
Guangxi,Mainland China,2020-01-29 21:00:00,78,0,2,01-29-2020
Hebei,Mainland China,2020-01-29 21:00:00,65,1,0,01-29-2020
Shaanxi,Mainland China,2020-01-29 21:00:00,56,0,0,01-29-2020
Yunnan,Mainland China,2020-01-29 21:00:00,55,0,0,01-29-2020
Hainan,Mainland China,2020-01-29 21:00:00,43,1,0,01-29-2020
Heilongjiang,Mainland China,2020-01-29 21:00:00,43,1,0,01-29-2020
Liaoning,Mainland China,2020-01-29 21:00:00,39,0,1,01-29-2020
Shanxi,Mainland China,2020-01-29 21:00:00,35,0,1,01-29-2020
Tianjin,Mainland China,2020-01-29 21:00:00,27,0,0,01-29-2020
Gansu,Mainland China,2020-01-29 21:00:00,26,0,0,01-29-2020
Nei Mongol,Mainland China,2020-01-29 21:00:00,16,0,0,01-29-2020
Jilin,Mainland China,2020-01-29 21:00:00,14,0,1,01-29-2020
Thailand,Thailand,2020-01-29 21:00:00,14,0,5,01-29-2020
Xinjiang Uygur,Mainland China,2020-01-29 21:00:00,14,0,0,01-29-2020
Guizhou,Mainland China,2020-01-29 21:00:00,12,0,1,01-29-2020
Ningxia,Mainland China,2020-01-29 21:00:00,12,0,0,01-29-2020
Japan,Japan,2020-01-29 21:00:00,11,0,1,01-29-2020
Hong Kong,Hong Kong,2020-01-29 21:00:00,10,0,0,01-29-2020
Singapore,Singapore,2020-01-29 21:00:00,10,0,0,01-29-2020
Taiwan,Taiwan,2020-01-29 21:00:00,8,0,0,01-29-2020
Australia,Australia,2020-01-29 21:00:00,7,0,0,01-29-2020
Macau,Macau,2020-01-29 21:00:00,7,0,0,01-29-2020
Malaysia,Malaysia,2020-01-29 21:00:00,7,0,0,01-29-2020
Qinghai,Mainland China,2020-01-29 21:00:00,6,0,0,01-29-2020
France,France,2020-01-29 21:00:00,5,0,0,01-29-2020
Germany,Germany,2020-01-29 21:00:00,4,0,0,01-29-2020
South Korea,South Korea,2020-01-29 21:00:00,4,0,0,01-29-2020
United Arab Emirates,United Arab Emirates,2020-01-29 21:00:00,4,0,0,01-29-2020
Canada,Canada,2020-01-29 21:00:00,3,0,0,01-29-2020
California,USA,2020-01-29 21:00:00 * CTY: LA 1; Orange 1,2,0,0,01-29-2020
Vietnam,Vietnam,2020-01-29 21:00:00,2,0,0,01-29-2020
Arizona,USA,2020-01-29 21:00:00,1,0,0,01-29-2020
Cambodia,Cambodia,2020-01-29 21:00:00,1,0,0,01-29-2020
Finland,Finland,2020-01-29 21:00:00,1,0,0,01-29-2020
Illinois,USA,2020-01-29 21:00:00,1,0,0,01-29-2020
Nepal,Nepal,2020-01-29 21:00:00,1,0,0,01-29-2020
Sri Lanka,Sri Lanka,2020-01-29 21:00:00,1,0,0,01-29-2020
Xizang,Mainland China,2020-01-29 21:00:00,1,0,0,01-29-2020
Washington,USA,2020-01-29 21:00:00,1,0,0,01-29-2020
Hubei,Mainland China,2020-01-30 21:30:00,5806,204,116,01-30-2020
Zhejiang,Mainland China,2020-01-30 21:30:00,537,0,9,01-30-2020
Guangdong,Mainland China,2020-01-30 21:30:00,393,0,11,01-30-2020
Henan,Mainland China,2020-01-30 21:30:00,352,2,3,01-30-2020
Hunan,Mainland China,2020-01-30 21:30:00,332,0,2,01-30-2020
Jiangxi,Mainland China,2020-01-30 21:30:00,240,0,7,01-30-2020
Anhui,Mainland China,2020-01-30 21:30:00,237,0,3,01-30-2020
Chongqing,Mainland China,2020-01-30 21:30:00,206,0,1,01-30-2020
Shandong,Mainland China,2020-01-30 21:30:00,178,0,2,01-30-2020
Sichuan,Mainland China,2020-01-30 21:30:00,177,1,1,01-30-2020
Jiangsu,Mainland China,2020-01-30 21:30:00,168,0,2,01-30-2020
Shanghai,Mainland China,2020-01-30 21:30:00,128,1,9,01-30-2020
Beijing,Mainland China,2020-01-30 21:30:00,121,1,5,01-30-2020
Fujian,Mainland China,2020-01-30 21:30:00,101,0,0,01-30-2020
Guangxi,Mainland China,2020-01-30 21:30:00,87,0,2,01-30-2020
Shaanxi,Mainland China,2020-01-30 21:30:00,87,0,0,01-30-2020
Hebei,Mainland China,2020-01-30 21:30:00,82,1,0,01-30-2020
Yunnan,Mainland China,2020-01-30 21:30:00,76,0,0,01-30-2020
Heilongjiang,Mainland China,2020-01-30 21:30:00,59,2,0,01-30-2020
Hainan,Mainland China,2020-01-30 21:30:00,50,1,1,01-30-2020
