Confirmed,Date,Deaths,Last Update,Recovered,Region,_id,State_Name
15,1/25/2020,1,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab844,Heilongjiang
15,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab845,Shaanxi
13,1/25/2020,1,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab846,Hebei
13,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab847,Tianjin
11,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab848,Yunnan
9,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab849,Shanxi
7,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab84a,Gansu
7,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab84b,Nei Mongol
7,1/25/2020,0,1/25/2020 12:00,0,Thailand,5e878e8c4d6afbef43dab84c,Thailand
5,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab84d,Guizhou
5,1/25/2020,0,1/25/2020 12:00,0,Hong Kong,5e878e8c4d6afbef43dab84e,Hong Kong
4,1/25/2020,0,1/25/2020 12:00,0,Australia,5e878e8c4d6afbef43dab84f,Australia
4,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab850,Jilin
4,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab851,Ningxia
4,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab852,Xinjiang Uygur
3,1/25/2020,0,1/25/2020 12:00,0,France,5e878e8c4d6afbef43dab853,France
3,1/25/2020,0,1/25/2020 12:00,0,Malaysia,5e878e8c4d6afbef43dab854,Malaysia
3,1/25/2020,0,1/25/2020 12:00,0,Singapore,5e878e8c4d6afbef43dab855,Singapore
3,1/25/2020,0,1/25/2020 12:00,0,South Korea,5e878e8c4d6afbef43dab856,South Korea
3,1/25/2020,0,1/25/2020 12:00,0,Taiwan,5e878e8c4d6afbef43dab857,Taiwan
2,1/25/2020,0,1/25/2020 12:00,0,Japan,5e878e8c4d6afbef43dab858,Japan
2,1/25/2020,0,1/25/2020 12:00,0,Macau,5e878e8c4d6afbef43dab859,Macau
2,1/25/2020,0,1/25/2020 12:00,0,Vietnam,5e878e8c4d6afbef43dab85a,Vietnam
1,1/25/2020,0,1/25/2020 12:00,0,USA,5e878e8c4d6afbef43dab85b,Illinois
1,1/25/2020,0,1/25/2020 12:00,0,Nepal,5e878e8c4d6afbef43dab85c,Nepal
1,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab85d,Qinghai
1,1/25/2020,0,1/25/2020 12:00,0,USA,5e878e8c4d6afbef43dab85e,Washington
1423,1/26/2020,76,1/26/2020 23:00,44,Mainland China,5e878e8c4d6afbef43dab85f,Hubei
146,1/26/2020,0,1/26/2020 23:00,2,Mainland China,5e878e8c4d6afbef43dab860,Guangdong
128,1/26/2020,1,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab861,Henan
128,1/26/2020,0,1/26/2020 23:00,1,Mainland China,5e878e8c4d6afbef43dab862,Zhejiang
110,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab863,Chongqing
100,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab864,Hunan
70,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab865,Anhui
69,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab866,Sichuan
68,1/26/2020,0,1/26/2020 23:00,2,Mainland China,5e878e8c4d6afbef43dab867,Beijing
63,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab868,Shandong
53,1/26/2020,1,1/26/2020 23:00,1,Mainland China,5e878e8c4d6afbef43dab869,Shanghai
48,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab86a,Jiangxi
47,1/26/2020,0,1/26/2020 23:00,1,Mainland China,5e878e8c4d6afbef43dab86b,Jiangsu
46,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab86c,Guangxi
35,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab86d,Fujian
23,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab86e,Liaoning
22,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab86f,Hainan
22,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab870,Shaanxi
21,1/26/2020,1,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab871,Heilongjiang
19,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab872,Yunnan
18,1/26/2020,1,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab873,Hebei
14,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab874,Gansu
14,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab875,Tianjin
13,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab876,Shanxi
11,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab877,Nei Mongol
8,1/26/2020,0,1/26/2020 23:00,0,Hong Kong,5e878e8c4d6afbef43dab878,Hong Kong
8,1/26/2020,0,1/26/2020 23:00,2,Thailand,5e878e8c4d6afbef43dab879,Thailand
7,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab87a,Guizhou
6,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab87b,Jilin
6,1/26/2020,0,1/26/2020 23:00,0,Macau,5e878e8c4d6afbef43dab87c,Macau
5,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab87d,Xinjiang Uygur
4,1/26/2020,0,1/26/2020 23:00,0,Australia,5e878e8c4d6afbef43dab87e,Australia
4,1/26/2020,0,1/26/2020 23:00,1,Japan,5e878e8c4d6afbef43dab87f,Japan
4,1/26/2020,0,1/26/2020 23:00,0,Malaysia,5e878e8c4d6afbef43dab880,Malaysia
4,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab881,Ningxia
4,1/26/2020,0,1/26/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab882,Qinghai
4,1/26/2020,0,1/26/2020 23:00,0,Singapore,5e878e8c4d6afbef43dab883,Singapore
4,1/26/2020,0,1/26/2020 23:00,0,Taiwan,5e878e8c4d6afbef43dab884,Taiwan
3,1/26/2020,0,1/26/2020 23:00,0,France,5e878e8c4d6afbef43dab885,France
